10_0	25902737
10_1	48279757
10_2	47651723
10_3	57125797
10_4	45173504
10_5	107640604
10_6	87575407
10_7	12078420
11_0	8817901
11_1	42810831
11_2	53888594
11_3	326712379
11_4	76604611
11_5	112780937
11_6	79842269
11_7	52067950
12_0	25748813
12_1	45859834
12_2	46537761
12_3	45499472
12_4	35638861
12_5	68196318
12_6	25429335
12_7	12017075
13_0	10531080
13_1	24472934
13_2	22487811
13_3	41129072
13_4	34438814
13_5	69786322
13_6	14499448
13_7	13412871
14_0	4268155
14_1	42484918
14_2	29164198
14_3	50125001
14_4	128400136
14_5	62754754
14_6	69696444
14_7	96282388
15_0	9609696
15_1	41749147
15_2	19612736
15_3	34853222
15_4	75836412
15_5	49161850
15_6	14727289
15_7	30657750
16_0	9532374
16_1	45343556
16_2	37795319
16_3	43819949
16_4	52354652
16_5	45965752
16_6	17586924
16_7	12528914
17_0	37497213
17_1	62922034
17_2	841327645
17_3	661512788
17_4	203649271
17_5	2016248129
17_6	43548241
17_7	16553754
18_0	12812711
18_1	6959038
18_2	7810525
18_3	15337726
18_4	80399828
18_5	590166517
18_6	138668528
18_7	15429781
19_0	11830849
19_1	1474370
19_2	1741819
19_3	769883
19_4	656036
19_5	331649
19_6	888668
19_7	734913
1_2	355145
1_3	1100608
1_4	125755
20_0	1026971
20_1	249451
20_2	398289
20_3	447822
20_4	188312
20_5	370102
20_6	333268
20_7	237289
21_0	212449
21_1	110610
21_3	0
6_4	40618265
6_5	1766
6_6	39828
6_7	31330
7_0	39376
7_1	13467
7_2	1600438
7_3	934095
7_4	322768
7_5	1580540
7_6	24777714
7_7	23776
8_0	3619574
8_1	800065
8_2	374885
8_3	179184
8_4	3241601
8_5	18543041
8_6	2450070
8_7	7152687
9_0	30940747
9_1	132064429
9_2	84711585
9_3	92509546
9_4	99255515
9_5	386628915
9_6	81129494
9_7	11814210
